Applicability,Service,Reporting period,Indicator,Value
All,Pokémon GO,2025-01-01/2025-12-31,Summary of the content moderation engaged in at the providers’ own initiative,"This Transparency Report (“Report”) is limited to Niantic International Limited’s (“Niantic”) service, Pokémon GO, a hosting service under Regulation (EU) 2022/2065 (“Digital Services Act” or “DSA”). It does not cover any other Niantic-provided services. To find transparency reports for our other services, please visit https://nianticlabs.com/dsa-transparency. This Report complies with the transparency reporting requirements set out in Articles 15 and 24 DSA. Except where otherwise noted, the information contained in this Report relates to the period from 1 January 2025 to 31 December 2025 (inclusive) (the “reporting period”)  and covers content moderation on the features of Pokémon GO that are regulated by the DSA. 

Below we provide information in accordance with Articles 15 and 24 DSA. More information on our approach to content moderation can be found in the Niantic Privacy Policy https://nianticlabs.com/privacy and the Niantic Safety Center https://nianticlabs.com/safety.

Notices
For Pokémon GO, Niantic has in place notice mechanisms in accordance with Article 16 DSA allowing users, individuals, and entities to notify Niantic of information on the Pokémon GO service that they allege to be illegal content or in violation of Niantic Player Guidelines. This feature is available directly from the piece of content and is easily accessible. Users can also notify Niantic through the Pokémon GO Help Center, which is accessible on the Pokémon GO website. 

Once Niantic receives the notice, our teams review the reported content in line with our Player Guidelines, available at https://nianticlabs.com/guidelines, and Route Guidelines, available at https://niantic.helpshift.com/hc/en/6-pokemon-go/faq/4378-routes-guidelines/?p=w. In review, Niantic human reviewers may determine that the reported content or account violates our Player Guidelines (including for reasons of illegality), in which case we may remove the content, warn the account holder, and/or suspend or ban the account. The only content-level enforcement Niantic exercises is removal."
All,Pokémon GO,2025-01-01/2025-12-31,Meaningful and comprehensible information regarding content moderation engaged in at the providers' own initiative,"The Niantic Player Guidelines detail what is and is not allowed on Niantic products and services, including on Pokémon GO. Our content moderation efforts utilize a combination of human review and technology.

Use of Automated Tools 
Content Moderation at Niantic is made up of a system of technologies, tools, partnerships, and processes that together enable us to apply our policies to the user generated content on our products and services. Niantic moderation efforts use a combination of automatic detection technologies and user reporting to identify and remediate against content, actors, and behaviors that violate our policies. When content is uploaded to Pokémon GO, Niantic technologies are running to automatically detect, restrict, and remove content and accounts that violate our Player Guidelines. If our technology identifies content that potentially violates our Player Guidelines or Routes Guidelines, the content will either be automatically enforced against (removed from platform), or it will be flagged for further review by our human review teams. 

Limited automatic moderation: The only content moderation process that is entirely automated for Pokémon GO is when a Route fails our location classifier. A Pokémon GO Route is a path that players can follow to explore their local area. Routes can be created by Niantic, official partners or other players. If the classifiers identify a Route to be an unsafe, inaccessible, or private location as determined by our location classifier, the Route will be auto-rejected. Upon rejection, a user receives a notification that contains the reason why the Route was rejected. If a Route is rejected, a user also has the opportunity to appeal that decision. More information about Routes can be found in the Help Center: https://niantic.helpshift.com/hc/en/6-pokemon-go/faq/4175-what-are-routes/. Additional detail on Pokémon GO’s automated tools can be found in the section on “Automated Means for Content Moderation”.

Automatic detection for further human review: In all other moderation processes, our technology selects content for human review. Our human review teams review both user-reported content as well as technology-identified cases. The review queue lists cases in order of priority, which is calculated based on relevant factors, including but not limited to creation timestamp and severity of the report. Moderators will then take appropriate action based on a case-by-case review.  

Reviewers evaluate the details of the case, align the topic to the relevant Niantic policy, and decide whether the content is policy-violating or not. If the content violates policy, the content is taken down and the user receives a notification that contains details on the policy they violated. 

Account-Level Enforcement 
After a human reviewer confirms that a user’s piece of content is policy-violating (including for illegality), Niantic applies appropriate account-level enforcement. The account is then assigned a numerical score based on the severity of the violation of the content, which is visible only to Niantic. To keep our services safe for our users, that score is tracked for appropriate account-level enforcement. At certain score thresholds, different levels of enforcement action take place. An account can receive a warning, a suspension, or a ban from Pokémon GO services. For certain severe violations, an account ban will include a ban from the service where the content was posted, as well as an account ban from all Niantic platforms.

Content Moderation Training 
Our content moderation teams apply our moderation policies to help protect our Pokémon GO community. Niantic’s human reviewers undergo specialised training in our numerous areas of content enforcement, policy areas, and regions. Our teams follow specific policies for each type of content we moderate. 

Reporting Metrics
Number of content moderation measures for Pokémon GO at Niantic’s own initiative in the EU. Geographic determination made using available last known country-level location of the user/account that submitted the content.

Niantic uses a points-based system for account-level enforcement. With every content violation, a user’s account may accrue points. The number of points vary per violation type because certain violations are more severe than others. Niantic keeps track of those points, and at varying points thresholds, different account-level violations will be enforced. The table below shows how many times an instance of a content violation counted towards an account-level type of enforcement action per illegality/policy violation category (covering both content notified to Niantic, and content detected/actioned at Niantic’s own initiative). It also sets out how many pieces of content were removed on Niantic’s own initiative, and measures taken after detection with solely automated means.

Due to the Niantic account-level enforcement points system, there are several different ways for a user’s account to accrue enough points that would lead to a termination, a suspension, or a warning. Point accrual largely depends on the volume and severity of content violations for a particular account. Due to data limitations, Niantic cannot report exactly which content violation led to the account exceeding the relevant points threshold and to a specific account-level enforcement, as it could result from any combination of user reporting, classifier identification, or any severity type of content violations. Please see the total aggregate number of account-level enforcement in the EU, per enforcement type: Aggregate Number of Accounts Terminated - 5; Aggregate Number of Accounts Suspended - 18; Aggregates Number of Accounts Warned - 26."
All,Pokémon GO,2025-01-01/2025-12-31,Qualitative description of the automated means,"Automated Means for Content Moderation
We use technology to help us proactively detect content on our services that might violate our Player Guidelines. These technologies run on Pokémon GO Routes. Pokémon GO is fully integrated with our moderation pipeline. This means that all Routes are subject to auto-detection of violations and harms. Once potentially-violating or illegal content is detected by our systems, the content will either be auto-rejected or queued for additional human review, except in the case of Route auto-rejection, which is automatically moderated as noted above. From there, our highly-trained moderators will review the reports in the queue based on priority in the moderation console. As stated above in Section 3, Niantic teams review content in line with our Player Guidelines and Route Guidelines and then make a decision about the content in question."
All,Pokémon GO,2025-01-01/2025-12-31,Qualitative description of indicators of accuracy and possible rate of error of automated means,"Indicators of accuracy, error rates, safeguards
To indicate accuracy of automated means for content moderation on Pokémon GO, Niantic reviews precision, accuracy, recall, and the action rate for each content moderation classifier. Niantic also tests all classifiers across relevant content to ensure a reasonable accuracy rate threshold based on our policies. New models are tested offline for performance and then go into review before being launched on the service. 

Several of the Niantic classifiers come from third parties. When selecting and onboarding a third-party classifier, Niantic teams carefully review how the classifier performs with a curated dataset and confirm that the classifier can perform at a baseline accuracy level. Niantic teams will monitor and adjust the third party classifiers with concise instructions to meet relevant policy thresholds as needed.

For all Niantic classifiers, Niantic teams are constantly monitoring for any unexpected activity that would warrant a re-review of the current state of the relevant Niantic classifier or any ad-hoc problem solving. Additionally, when any Niantic policies are updated, if the classifier needs to be adjusted to reflect the policy changes, Niantic teams modify the classifier to align with the updated policies. 

Following the launch of our automated detection models, we evaluate their performance and accuracy on an ongoing basis, and make adjustments as needed."
All,Pokémon GO,2025-01-01/2025-12-31,Specification of the precise purposes to apply automated means,See above
All,Pokémon GO,2025-01-01/2025-12-31,Safeguards applied to the use of automated means,See above
Only for VLOPs,,YYYY-MM-DD/YYYY-MM-DD,High-level description of the content moderation governance structure,Free text
Only for VLOPs,,YYYY-MM-DD/YYYY-MM-DD,Qualifications of the human resources dedicated to content moderation,Free text
Only for VLOPs,,YYYY-MM-DD/YYYY-MM-DD,Training given to human resources dedicated to content moderation,Free text
Only for VLOPs,,YYYY-MM-DD/YYYY-MM-DD,Support given to human resources dedicated to content moderation,Free text
