Category label,Category description,Category of illegal content / incompatible with the terms and conditions,Contextual information
TOTAL,All the entries,TOTAL,
Category 1,Animal welfare,STATEMENT_CATEGORY_ANIMAL_WELFARE,"Animal welfare is not a category currently tracked within Grindr's content moderation framework. Given Grindr's use case, animal welfare violations are not a foreseeable or prevalent harm type on the service. This assessment is supported by manual sweeps of the platform, which have returned little indicators of animal welfare-related content or activity. Grindr considers the likelihood of this category presenting a meaningful risk on its platform to be low, and has therefore not prioritised it within its moderation taxonomy or detection systems at this time. Note that there is an option through the Help Center for users to complain on any topic, which would include animal welfare."
Category 1a,Animal harm,KEYWORD_ANIMAL_HARM,
Category 1b,Unlawful sale of animals,KEYWORD_UNLAWFUL_SALE_ANIMALS,
Category 1c,Not captured by any other sub-category,KEYWORD_OTHER,
Category 2,Consumer information infringements,STATEMENT_CATEGORY_CONSUMER_INFORMATION,
Category 2a,"Hidden advertisement or commercial communication, including by influencers",KEYWORD_HIDDEN_ADVERTISEMENT,
Category 2b,Insufficient information on traders,KEYWORD_INSUFFICIENT_INFORMATION_ON_TRADERS,"Grindr does not offer marketplace functionality and has no features enabling users to buy, sell, or exchange goods or services. As a location-based social and dating app, harm categories associated with commercial transactions are not applicable to Grindr's platform."
Category 2c,Misleading information about the characteristics of the goods and services,KEYWORD_MISLEADING_INFO_GOODS_SERVICES,"Grindr does not offer marketplace functionality and has no features enabling users to buy, sell, or exchange goods or services. As a location-based social and dating app, harm categories associated with commercial transactions are not applicable to Grindr's platform."
Category 2d,Misleading information about the consumer’s rights,KEYWORD_MISLEADING_INFO_CONSUMER_RIGHTS,"Grindr does not offer marketplace functionality and has no features enabling users to buy, sell, or exchange goods or services. As a location-based social and dating app, harm categories associated with commercial transactions are not applicable to Grindr's platform."
Category 2e,Non-compliance with pricing regulations,KEYWORD_NONCOMPLIANCE_PRICING,"Grindr does not offer marketplace functionality and has no features enabling users to buy, sell, or exchange goods or services. As a location-based social and dating app, harm categories associated with commercial transactions are not applicable to Grindr's platform."
Category 2f,Not captured by any other sub-category,KEYWORD_OTHER,
Category 3,Cyber violence,STATEMENT_CATEGORY_CYBER_VIOLENCE,
Category 3a,Cyber bullying and intimidation,KEYWORD_CYBER_BULLYING_INTIMIDATION,
Category 3b,Cyber harassment,KEYWORD_CYBER_HARASSMENT,
Category 3c,Cyber incitement to hatred or violence,KEYWORD_CYBER_INCITEMENT,
Category 3d,Cyber stalking,KEYWORD_CYBER_STALKING,
Category 3e,"Non-consensual (intimate) material sharing, including (image-based) sexual abuse (excluding content depicting minors)",KEYWORD_NON_CONSENSUAL_IMAGE_SHARING,
Category 3f,Non-consensual sharing of material containing deepfake or similar technology using a third party's features (excluding content depicting minors),KEYWORD_NON_CONSENSUAL_MATERIAL_DEEPFAKE,
Category 3g,Not captured by any other sub-category,KEYWORD_OTHER,
Category 4,Cyber violence against women,STATEMENT_CATEGORY_CYBER_VIOLENCE_AGAINST_WOMEN,"Violence against women is not a category currently tracked within Grindr's content moderation framework. However, recognising that transgender women are a meaningful part of its community, Grindr has introduced a dedicated tag beginning in 2026 to specifically track and segment violence directed at transgender women from broader user violence complaints, enabling more granular monitoring and reporting in future transparency periods."
Category 4a,Cyber bullying and intimidation against girls,KEYWORD_BULLYING_AGAINST_GIRLS,
Category 4b,Cyber harassment against women,KEYWORD_CYBER_HARASSMENT_AGAINST_WOMEN,
Category 4c,Cyber stalking against women,KEYWORD_CYBER_STALKING_AGAINST_WOMEN,
Category 4d,Gendered disinformation,KEYWORD_FEMALE_GENDERED_DISINFORMATION,
Category 4e,Illegal incitement to violence and hatred against women,KEYWORD_INCITEMENT_AGAINST_WOMEN,
Category 4f,"Non-consensual (intimate) material sharing against women, including (image-based) sexual abuse against women (excluding content depicting minors)",KEYWORD_NON_CONSENSUAL_IMAGE_SHARING_AGAINST_WOMEN,
Category 4g,Non-consensual sharing of material containing deepfake or similar technology using a third party's features against women (excluding content depicting minors),KEYWORD_NON_CONSENSUAL_MATERIAL_DEEPFAKE_AGAINST_WOMEN,
Category 4h,Not captured by any other sub-category,KEYWORD_OTHER,
Category 5,Data protection and privacy violations,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,
Category 5a,Biometric data breach,KEYWORD_BIOMETRIC_DATA_BREACH,
Category 5b,Data falsification,KEYWORD_DATA_FALSIFICATION,
Category 5c,Missing processing ground for data,KEYWORD_MISSING_PROCESSING_GROUND,
Category 5d,Right to be forgotten,KEYWORD_RIGHT_TO_BE_FORGOTTEN,
Category 5e,Not captured by any other sub-category,KEYWORD_OTHER,
Category 6,Illegal or harmful speech,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,
Category 6a,Defamation,KEYWORD_DEFAMATION,
Category 6b,Discrimination,KEYWORD_DISCRIMINATION,
Category 6c,Illegal incitement to violence and hatred based on protected characteristics (hate speech),KEYWORD_HATE_SPEECH,
Category 6d,Not captured by any other sub-category,KEYWORD_OTHER,
Category 7,Intellectual property infringements,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,"Intellectual property infringements is not a category currently tracked within Grindr's content moderation framework. Grindr does not allow users to host long-form content, music, video, or commercial media that would typically give rise to copyright or trademark claims. Where IP-related enforcement actions are recorded, these primarily relate to profile photos or content flagged for unauthorised use of third-party images. The likelihood of this category presenting a systemic or meaningful risk on the platform is considered low."
Category 7a,Copyright infringements,KEYWORD_COPYRIGHT_INFRINGEMENT,
Category 7b,Design infringements,KEYWORD_DESIGN_INFRINGEMENT,
Category 7c,Geographical indications infringements,KEYWORD_GEOGRAPHIC_INDICATIONS_INFRINGEMENT,
Category 7d,Patent infringements,KEYWORD_PATENT_INFRINGEMENT,
Category 7e,Trade secret infringements,KEYWORD_TRADE_SECRET_INFRINGEMENT,
Category 7f,Trademark infringements,KEYWORD_TRADEMARK_INFRINGEMENT,
Category 7g,Not captured by any other sub-category,KEYWORD_OTHER,
