Applicability,Service,Reporting period,Indicator,Value
All,Riot Games,2025-01-01/2025-12-31,Summary of the content moderation engaged in at the providers’ own initiative,"To maintain a positive in-game environment and reduce violative behavior, Riot Games utilizes a variety of technologies and processes to identify and address disruptive behaviors. Behaviors that are against our Terms of Service include cheating, gameplay violations, inappropriate communications, inappropriate names, and disruptive quitting. In-game moderation actions can be applied automatically when systems are extremely confident in their findings, and can also be triggered through in-game player reports. Players can also report incidents or inappropriate behavior through our Player Support web page. Reports not handled via automation are directed to the appropriate Player Support agent, who communicates with the player in their preferred language. The agent thoroughly reviews the case and, if necessary, requests additional information to conclude the investigation and determine if any penalty is required.

To comply with Article 16 of the Digital Services Act (DSA), Riot Games ensures that notices related to illegal content are handled promptly and transparently via a specialized Illegal Content reporting form within the Player Support web page. When a user submits a notice via our DSA Illegal Content reporting form, an automatic reply is sent to the player acknowledging the submission. Then the report is routed to our Player Support agents for review. This process includes reviewing the reported incident, assessing the evidence provided by the user, and examining any additional relevant game data. Based on this investigation, a well-informed decision is made regarding the action to be taken. For complex or sensitive cases, agents have access to an internal escalation and secondary review process, which provides an additional safeguard to support decision quality and consistency.

If a penalty is determined as the appropriate next step, a statement of reasons is provided to the reporting player and the penalized player, and, in some cases, bystander notifications are also issued. This statement outlines the rationale for the decision and indicates whether any automated functions were used. In addition, the reporting player and the affected player are provided with information on how to appeal the decision if they believe it was made in error or require further clarification."
All,Riot Games,2025-01-01/2025-12-31,Meaningful and comprehensible information regarding content moderation engaged in at the providers' own initiative,"The following section provides additional detail on how these content moderation processes operate in practice.

To maintain a positive in-game environment and reduce violative behavior, Riot Games utilizes a variety of technologies and processes to identify and address disruptive behaviors. Behaviors that are against our Terms of Service include cheating, gameplay violations, inappropriate communications, inappropriate names, and disruptive quitting. In-game moderation actions can be applied automatically when systems are extremely confident in their findings, and can also be triggered through in-game player reports. Players can also report incidents or inappropriate behavior through our Player Support web page. Reports not handled via automation are directed to the appropriate Player Support agent, who communicates with the player in their preferred language. The agent thoroughly reviews the case and, if necessary, requests additional information to conclude the investigation and determine if any penalty is required.

Once a violation of our Terms of Service is confirmed, either by the system or a human reviewer, our system evaluates the transgression. Based on the player’s history and the severity of the behavior, the system assesses the appropriate penalty to apply. Penalty records are stored on each account to inform future decisions, ensuring consistency and fairness.

To provide context, the scope and visibility of in-game communication features are described below. The in-game chat allows players to communicate during gameplay, but these chats are not publicly accessible to either registered or non-registered players. Player communication visible to multiple participants is primarily restricted to live in-game matches, where a maximum of 10 players can participate per match. Players may also communicate prior to gameplay within a limited lobby environment, which supports up to 40 players. In this context, lobby chat visibility is constrained, with message history only accessible for a rolling 45-minute session. Across both contexts, conversations between players – whether teammates, opponents, or lobby members – are transient in nature and automatically made unavailable once gameplay or the associated session concludes. There is no feature allowing chat logs to be stored or accessed by players after a match."
All,Riot Games,2025-01-01/2025-12-31,Qualitative description of the automated means,"Automation plays a key role in upholding our Terms of Service within Riot Games. Our systems leverage advanced tools and technologies to monitor and address violations across various aspects of gameplay and player interactions:

1. Gameplay - We use automated tools to gather relevant game actions performed in our games and to assess them against a set of predefined rules that constitute gameplay violations.
2. Quitting - Our system tracks a player’s last meaningful action in the game and monitors the amount of time a player is connected or disconnected from a match. If a player does not perform any meaningful action or is disconnected for an extended period, they may receive a quitting penalty.
3. Names - Players' account and guild names are automatically reviewed by our system during creation, when receiving player reports, and periodically, to ensure they do not contain offensive or inappropriate language.
4. Communication - Our systems utilize a combination of machine learning and keyword-based detection to identify disruptive or inappropriate communication during in-game play, lobby sessions, and following the receipt of player reports.  
5. Cheating - Vanguard, Riot Games' game security software, collects game data and compares it against an extensive set of rules to actively flag cheaters.

Riot does not utilize automated moderation for illegal content submitted through the Illegal Content Reporting form. All illegal content notices are manually reviewed and addressed by Player Support agents. Additionally, all penalties, whether applied manually or automatically, can be appealed for a human review."
All,Riot Games,2025-01-01/2025-12-31,Qualitative description of indicators of accuracy and possible rate of error of automated means,"At Riot Games, humans manually review the accuracy of individual components and detections within our automation pipelines, leveraging rigorously validated test data. These assessments determine which internal detections and components are utilized, as well as how different results must be combined to ensure high confidence in any moderation actions taken by automated pipelines. Additionally, all penalty decisions can be appealed, allowing Riot Games to identify and correct potential errors in moderation."
All,Riot Games,2025-01-01/2025-12-31,Specification of the precise purposes to apply automated means,"Riot Games employs automated systems during the content moderation process to foster a positive in-game environment and reduce other forms of violative behavior. These systems are designed to address the following key risks:

1. Gameplay Violations - Automated processes collect and analyze in-game data against a predefined rule set to identify disruptive gameplay behaviors, such as deliberately losing matches, griefing teammates, or engaging in unsportsmanlike conduct. This helps maintain a competitive and enjoyable gameplay experience for all players.
2. Quitting & AFK Behavior - Automated tools monitor player behavior, such as leaving matches early, going AFK (away from keyboard), or other forms of inaction that disrupt gameplay and competition. These measures help maintain balanced and competitive matches.
3. Inappropriate Names - Automated name-filtering systems detect and flag offensive or inappropriate Riot IDs (screen names) or guild names. This ensures that player identities and associated content comply with the Terms of Service and remain respectful to others.
4. Communication - Automated tools detect and flag potentially harmful or disruptive messages and terms, including those commonly associated with hate speech or harassment, before they can be shared in our game and lobby chat. This reduces the risk of exposing players to harmful interactions and promotes a safer community experience. 
5. Cheating - Vanguard, Riot Games' anti-cheat system, identifies and addresses cheating behaviors, including the use of unauthorized third-party software or bots that provide unfair advantages. This system protects the integrity of gameplay and ensures a fair environment for all players."
All,Riot Games,2025-01-01/2025-12-31,Safeguards applied to the use of automated means,"All penalties, whether applied manually or automatically, can be appealed for a human review."
Only for VLOPs,,YYYY-MM-DD/YYYY-MM-DD,High-level description of the content moderation governance structure,Free text
Only for VLOPs,,YYYY-MM-DD/YYYY-MM-DD,Qualifications of the human resources dedicated to content moderation,Free text
Only for VLOPs,,YYYY-MM-DD/YYYY-MM-DD,Training given to human resources dedicated to content moderation,Free text
Only for VLOPs,,YYYY-MM-DD/YYYY-MM-DD,Support given to human resources dedicated to content moderation,Free text
