Applicability,Service,Reporting period,Indicator,Value
All,Baseball Clash,2025-01-01/2025-12-31,Summary of the content moderation engaged in at the providers’ own initiative,"We employ commercially available, automated moderation tools to proactively detect and block user-generated content that may violate our terms and conditions. These systems operate independently, using language-appropriate filters to flag and prevent the display of offensive or prohibited content before it reaches users. Human moderators may occasionally receive user reports concerning other users, which are reviewed and can lead to account suspension or termination. If feasible, the affected user will be notified, provided we have a reliable means of contacting them. Users can submit appeals through the channels that have been communicated to them."
All,Baseball Clash,2025-01-01/2025-12-31,Meaningful and comprehensible information regarding content moderation engaged in at the providers' own initiative,"To manage the high volume of user-generated content, we rely primarily on automated moderation solutions that operate at scale. These commercial tools come with pre-configured filters tailored to various languages and content categories, including but not limited to references to alcohol or drugs, ASCII art, bigotry, bullying, grooming, violence, threats, sexually explicit content, spam, and personally identifiable information. Content identified as violating these filters by automated means is automatically blocked and not displayed to other users, thereby ensuring that the reach of illegal or non-compliant content is virtually zero."
All,Baseball Clash,2025-01-01/2025-12-31,Qualitative description of the automated means,"We use third-party automated moderation tools that rely on a mix of rule-based keyword filters and machine learning classifiers. These systems are configured to flag content based on predefined rules (e.g., profane terms) and contextual indicators (e.g., co-occurrence of terms indicative of grooming or hate speech). Filter sensitivity varies by category; for example, nudity filters are more aggressive due to risk severity. Filters are regularly updated to reflect evolving language and emerging threats. All filters operate in the content’s primary language, with language detection applied where necessary."
All,Baseball Clash,2025-01-01/2025-12-31,Qualitative description of indicators of accuracy and possible rate of error of automated means,"Our solution providers do not disclose formal accuracy metrics, therefore we do not currently have precise quantitative metrics such as precision or recall for our moderation systems. We rely on user appeals and moderator reporting as indirect indicators. Future enhancements may include benchmark testing for selected content categories. "
All,Baseball Clash,2025-01-01/2025-12-31,Specification of the precise purposes to apply automated means,"We have integrated specialised automated systems designed to efficiently handle the continuous flow of content being produced by users. They address the risk of exposure to harmful, illegal, or non-compliant content at scale. Specifically, we use automation to proactively detect and prevent dissemination of hate speech and harassment, child sexual abuse material (CSAM), content promoting violence or self-harm, and personally identifiable information. These systems are focused primarily on preemptive blocking, with post-detection escalation only for edge cases."
All,Baseball Clash,2025-01-01/2025-12-31,Safeguards applied to the use of automated means,"Due to the high volume of user-generated content, moderation is primarily handled through automated systems. Users who encounter potentially inappropriate content that automated moderation failed to stop, can report it, and such reports are reviewed by human moderators to the best of their ability, based on the available information. Additionally, our selection of automated moderation vendors involves a thorough due diligence process that assesses their practices, particularly regarding the handling of personal user data, to ensure that user privacy and content confidentiality are maintained throughout the moderation process."
Only for VLOPs,,YYYY-MM-DD/YYYY-MM-DD,High-level description of the content moderation governance structure,Free text
Only for VLOPs,,YYYY-MM-DD/YYYY-MM-DD,Qualifications of the human resources dedicated to content moderation,Free text
Only for VLOPs,,YYYY-MM-DD/YYYY-MM-DD,Training given to human resources dedicated to content moderation,Free text
Only for VLOPs,,YYYY-MM-DD/YYYY-MM-DD,Support given to human resources dedicated to content moderation,Free text
Only for VLOPs,,YYYY-MM-DD/YYYY-MM-DD,Methodology used to compute the number of human resources dedicated to content moderation  ,Free text
