PROPRE INITIATIVE CONDITIONS GENERALES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Applicabilité,Service,Période couverte par le rapport,Catégorie d’incompatibilité avec les conditions générales du fournisseur,Description de la sous-catégorie «Autre»,Nombre de mesures prises par le fournisseur de sa propre initiative,Nombre de mesures prises après détection par des moyens automatisés uniquement,Restriction de la visibilité - Retrait,Restriction de la visibilité - Accès rendu impossible,Restriction de la visibilité - Déclassement,Restriction de la visibilité - Limite d’âge,Restriction de la visibilité - Limite d’interaction,Restriction de la visibilité - Labellisation,Restriction de la visibilité - Autre,Restriction des paiements monétaires - Suspension,Restriction des paiements monétaires - Fin,Restriction des paiements monétaires - Autre,Fourniture du service - Suspension,Fourniture du service - Fin,Restriction du compte - Suspension,Restriction de compte - Fin,Informations contextuelles sur Nombre de mesures prises par le fournisseur de sa propre initiative,Informations contextuelles sur Nombre de mesures prises après détection par des moyens automatisés uniquement,Informations contextuelles sur Restriction de la visibilité - Retrait,Informations contextuelles sur Restriction de la visibilité - Accès rendu impossible,Informations contextuelles sur Restriction de la visibilité - Déclassement,Informations contextuelles sur Restriction de la visibilité - Limite d’âge,Informations contextuelles sur Restriction de la visibilité - Limite d’interaction,Informations contextuelles sur Restriction de la visibilité - Labellisation,Informations contextuelles sur Restriction de la visibilité - Autre,Informations contextuelles sur Restriction des paiements monétaires - Suspension,Informations contextuelles sur Restriction des paiements monétaires - Fin,Informations contextuelles sur Restriction des paiements monétaires - Autre,Informations contextuelles sur Fourniture du service - Suspension,Informations contextuelles sur Fourniture du service - Fin,Informations contextuelles sur Restriction du compte - Suspension,Informations contextuelles sur Restriction du compte - Suppression
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,KEYWORD_NONCOMPLIANCE_PRICING,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,KEYWORD_OTHER,Texte pour préciser le mot-clé «Autre».,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,STATEMENT_CATEGORY_CYBER_VIOLENCE,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,KEYWORD_CYBER_BULLYING_INTIMIDATION,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2024-02-17 / 2024-12-31,KEYWORD_CYBER_HARASSMENT,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,KEYWORD_CYBER_INCITEMENT,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,KEYWORD_CYBER_STALKING,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,KEYWORD_NON_CONSENSUAL_MATERIAL_DEEPFAKE,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,KEYWORD_OTHER,Texte pour préciser le mot-clé «Autre».,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,STATEMENT_CATEGORY_CYBER_VIOLENCE_AGAINST_WOMEN,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,KEYWORD_BULLYING_AGAINST_GIRLS,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,KEYWORD_CYBER_HARASSMENT_AGAINST_WOMEN,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,KEYWORD_CYBER_STALKING_AGAINST_WOMEN,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,KEYWORD_FEMALE_GENDERED_DISINFORMATION,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,KEYWORD_INCITEMENT_AGAINST_WOMEN,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING_AGAINST_WOMEN,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,KEYWORD_NON_CONSENSUAL_MATERIAL_DEEPFAKE_AGAINST_WOMEN,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,KEYWORD_OTHER,Texte pour préciser le mot-clé «Autre».,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,KEYWORD_BIOMETRIC_DATA_BREACH,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,KEYWORD_DATA_FALSIFICATION,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,KEYWORD_MISSING_PROCESSING_GROUND,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,KEYWORD_RIGHT_TO_BE_FORGOTTEN,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,KEYWORD_OTHER,Texte pour préciser le mot-clé «Autre».,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,KEYWORD_DEFAMATION,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,KEYWORD_DISCRIMINATION,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,KEYWORD_HATE_SPEECH,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,KEYWORD_OTHER,Texte pour préciser le mot-clé «Autre».,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,KEYWORD_COPYRIGHT_INFRINGEMENT,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,KEYWORD_DESIGN_INFRINGEMENT,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,KEYWORD_GEOGRAPHIC_INDICATIONS_INFRINGEMENT,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,KEYWORD_PATENT_INFRINGEMENT,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,KEYWORD_TRADE_SECRET_INFRINGEMENT,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,KEYWORD_TRADEMARK_INFRINGEMENT,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,KEYWORD_OTHER,Texte pour préciser le mot-clé «Autre».,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,STATEMENT_CATEGORY_NEGATIVE_EFFECTS_ON_CIVIC_DISCOURSE_OR_ELECTIONS,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,KEYWORD_MISINFORMATION_DISINFORMATION,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,KEYWORD_VIOLATION_EU_LAW,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,KEYWORD_VIOLATION_NATIONAL_LAW,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,KEYWORD_OTHER,Texte pour préciser le mot-clé «Autre».,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,KEYWORD_AGE_SPECIFIC_RESTRICTIONS_MINORS,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL_DEEPFAKE,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,KEYWORD_GROOMING_SEXUAL_ENTICEMENT_MINORS,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,KEYWORD_UNSAFE_CHALLENGES,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,KEYWORD_OTHER,Texte pour préciser le mot-clé «Autre».,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,KEYWORD_ILLEGAL_ORGANIZATIONS,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,KEYWORD_RISK_ENVIRONMENTAL_DAMAGE,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,KEYWORD_RISK_PUBLIC_HEALTH,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,KEYWORD_TERRORIST_CONTENT,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,KEYWORD_OTHER,Texte pour préciser le mot-clé «Autre».,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,KEYWORD_IMPERSONATION_ACCOUNT_HIJACKING,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,KEYWORD_INAUTHENTIC_ACCOUNTS,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,KEYWORD_INAUTHENTIC_LISTINGS,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,KEYWORD_INAUTHENTIC_USER_REVIEWS,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,KEYWORD_PHISHING,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,KEYWORD_PYRAMID_SCHEMES,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,KEYWORD_OTHER,Texte pour préciser le mot-clé «Autre».,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,STATEMENT_CATEGORY_SELF_HARM,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,KEYWORD_CONTENT_PROMOTING_EATING_DISORDERS,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,KEYWORD_SELF_MUTILATION,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,KEYWORD_SUICIDE,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,KEYWORD_OTHER,Texte pour préciser le mot-clé «Autre».,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,STATEMENT_CATEGORY_UNSAFE_AND_PROHIBITED_PRODUCTS,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,KEYWORD_PROHIBITED_PRODUCTS,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,KEYWORD_UNSAFE_PRODUCTS,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,KEYWORD_OTHER,Texte pour préciser le mot-clé «Autre».,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,STATEMENT_CATEGORY_VIOLENCE,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,KEYWORD_COORDINATED_HARM,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,KEYWORD_INCITEMENT_VIOLENCE_HATRED,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,KEYWORD_HUMAN_EXPLOITATION,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,KEYWORD_HUMAN_TRAFFICKING,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,KEYWORD_TRAFFICKING_WOMEN_GIRLS,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,KEYWORD_OTHER,Texte pour préciser le mot-clé «Autre».,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2024-02-17 / 2024-12-31,STATEMENT_CATEGORY_OTHER_VIOLATION_TC,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2024-02-17 / 2024-12-31,KEYWORD_ADULT_SEXUAL_MATERIAL,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2024-02-17 / 2024-12-31,KEYWORD_AGE_SPECIFIC_RESTRICTIONS,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2024-02-17 / 2024-12-31,KEYWORD_GEOGRAPHICAL_REQUIREMENTS,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2024-02-17 / 2024-12-31,KEYWORD_GOODS_SERVICES_NOT_PERMITTED,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2024-02-17 / 2024-12-31,KEYWORD_LANGUAGE_REQUIREMENTS,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2024-02-17 / 2024-12-31,KEYWORD_NUDITY,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2024-02-17 / 2024-12-31,KEYWORD_OTHER,Texte pour préciser le mot-clé «Autre».,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,KEYWORD_OTHER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
