Applicability,Service,Reporting period,Indicator,Value
All,"Vimeo.com, Inc.",2025-01-01/2025-12-31,Summary of the content moderation engaged in at the providers’ own initiative,"Vimeo helps businesses and professionals use video to connect with audiences, motivate teams, and drive cultural and financial growth. We serve a diverse user base, ranging from award-winning filmmakers to globally distributed teams at some of the world’s largest enterprises. Vimeo offers a comprehensive suite of video tools through a Software-as-a-Service (SaaS) model. Our platform provides solutions for video hosting, creation, editing, analytics, AI-driven language translation, and enterprise-specific features. Unlike other platforms, Vimeo does not operate a content discovery service in the EU or generate revenue from adverthisements. Vimeo maintains a strong commitment to transparency and user safety.

We maintain globally consistent policies that aim to provide a safe and positive experience for our users. Our Terms of Service and Acceptable Use Community Guidelines clearly define what is and is not allowed on our platform.

Content Moderation Actions. If content is found to violate our policies, then we may (1) issue a warning, (2) remove or restrict the content, or (3) deactivate or ban the user’s account. If a user commits serious violations or repeatedly violates our policies, we may suspend or terminate that user's account(s) and prohibit that user from opening new accounts. 

Vimeo requires users to rate their videos and identify content that includes nudity, violence, profanity, illegal, or adverthisements. (See Our Content Ratings policy for more information)"
All,"Vimeo.com, Inc.",2025-01-01/2025-12-31,Meaningful and comprehensible information regarding content moderation engaged in at the providers' own initiative,"Vimeo’s approach to content moderation is intended to balance safety with freedom of expression. We employ a combination of techniques, involving technology and human review, to detect and mitigate the risk of illegal and policy violating content uploaded on our platform. We also encourage users to report content they believe violates our Terms of Service. Our moderators review reports and take appropriate action.

Content Moderation Team. Vimeo has a Trust & Safety team dedicated to keeping Vimeo a safe space for everyone. They use a combination of technology and human review to identify and remove harmful content quickly and enforce our policies effectively. The team also supports our users by resolving content moderation reports and appeals. 

Automation Tools. We use automated tooling to enhance our detection efforts for certain high-harm categories. These tools analyze data for potential harmful content and  identify and prioritize urgent cases for manual review.

Third-Party Support. In some cases, we may partner with external moderation providers to ensure timely and accurate enforcement.

Based on our current content moderation tools and processes, we estimate that violating content receives a worldwide average of 94 views and reaches approximately 42.35 users before any moderation action is taken. This estimation considers both manual and automated detection methods employed. Notably, we have recently increased our proactive scanning of both new uploads and legacy content that had not previously undergone automated review, to better identify and remove harmful material. Because this expanded review of older content captures violations that have been on the platform for longer periods, our exposure metrics may appear higher than they are for newly uploaded content."
All,"Vimeo.com, Inc.",2025-01-01/2025-12-31,Qualitative description of the automated means,"Our Trust & Safety team operates on a 24x7 schedule, reviewing content flagged by both users and automated systems. Our technology helps prioritize content for review and employs matching technology to identify copies of previously removed content. This supports our ability to swiftly remove or restrict re-uploads that violate our policies. 

Vimeo employs three primary forms of technology to detect and prevent content policy violations. Our hash-blocking system identifies identical copies of previously removed egregious content or accounts, enabling automatic blocking, removal, or flagging for manual review.  Additionally, our proprietary tool monitors video metadata for keywords that may indicate policy violations, allowing for immediate automated content removal or flagging for human review. Finally, Vimeo relies on industry recognized software to identify high-priority content for removal, such as child sexual abuse material (CSAM), using automated scans and content fingerprinting techniques. These technologies work in concert to support our content moderation efforts and maintain a safer online environment."
All,"Vimeo.com, Inc.",2025-01-01/2025-12-31,Qualitative description of indicators of accuracy and possible rate of error of automated means,"Vimeo utilizes automated systems to resolve certain user reports and quickly identify known prohibited content. These automated systems are partially informed by past manual content assessments to determine whether content violates our policies. 

Users receive notifications if they are impacted by a content moderation decision, including when they are the reporting party. This notice describes our decision and their right to appeal. We continuously evaluate the efficacy of our automated content moderation tools and consider how often we overturn automated actions. We track the percentage of content that was automatically removed and later restored to estimate the accuracy of our systems. Based on our review, we have found that not all restored content was wrongly removed, and not all wrongly removed content gets restored. As such, we are only able to approximate the level of accuracy.

Based on our assessment of this year’s appeal outcomes and reinstatement rates, we estimate that our automated system’s error rate was less than 1% for content removed during this reporting period. Vimeo remains committed to improving our automated systems and exploring investments in machine learning."
All,"Vimeo.com, Inc.",2025-01-01/2025-12-31,Specification of the precise purposes to apply automated means,"As noted above, Vimeo uses a combination of technology and human review to identify and address harmful content. Our automated tools are implemented and developed in an effort to keep pace with our content moderation needs for detection, prevention, and enforcement.  Vimeo had millions of videos uploaded in 2025 and utilized automated tools to quickly identify potentially violating content, prioritize urgent cases for manual review, and automatically take action on clear violations. This, in turn, supports our ability to scale our content moderation efforts and respond more effectively to online harms. 

Enforcement Technology: We are using and improving systems that combine automated tools and human review to enforce our policies. These systems may proactively scan for and enforce against policy violations before they are reported by users.

These automated detection and enforcement systems are intended to identify high-volume violations and severe policy breaches, such as content related to terrorism, and child exploitation and abuse. We also use hash-matching technology to detect and block known harmful content like CSAM (Child Sexual Abuse Material), NCII (Non-Consensual Intimate Imagery), and TVE (Terrorism and Violent Extremism). Additional tools we use include keyword detection, content filters, and behavioral signals.

Automated Tools to Combat CSAM. Vimeo has a zero tolerance policy for CSAM. We utilize Safer by Thorn, a vendor, to scan our platform to identify any known CSAM. These automated measures help prevent the Vimeo.com platform from hosting abusive content and deter bad actors. To support efforts to detect and report CSAM, we use hash matching technology. This technology creates a unique digital fingerprint for the content so it can be compared with known CSAM hashes."
All,"Vimeo.com, Inc.",2025-01-01/2025-12-31,Safeguards applied to the use of automated means,"Vimeo continues to invest in automated detection systems and maturing our content moderation practices. We use a combination of technology and human reviews to swiftly identify and address potentially harmful content. This approach helps us maintain a safe platform while improving our tools. To maintain a high level of accuracy in our automated technology, we conduct quality evaluations and implement overlapping compliance measures. 

Any content moderation decision made by an automated system is subject to human oversight. While technology is a vital part of our safety efforts, all appeals will be reviewed by a human moderator."
Only for VLOPs,N/A,2025-01-01/2025-12-31,High-level description of the content moderation governance structure,"Vimeo.com, Inc. is not considered a VLOP under the DSA"
Only for VLOPs,N/A,2025-01-01/2025-12-31,Qualifications of the human resources dedicated to content moderation,"Vimeo.com, Inc. is not considered a VLOP under the DSA"
Only for VLOPs,N/A,2025-01-01/2025-12-31,Training given to human resources dedicated to content moderation,"Vimeo.com, Inc. is not considered a VLOP under the DSA"
Only for VLOPs,N/A,2025-01-01/2025-12-31,Support given to human resources dedicated to content moderation,"Vimeo.com, Inc. is not considered a VLOP under the DSA"
