Applicability,Service,Reporting period,Section,Indicator,Scope,Value
Only for VLOPs and VLOSEs,Pinterest,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,TOTAL,"87,497,257"
Only for VLOPs and VLOSEs,Pinterest,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,AT,"1,803,704"
Only for VLOPs and VLOSEs,Pinterest,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,BE,"2,851,236"
Only for VLOPs and VLOSEs,Pinterest,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,BG,"1,031,364"
Only for VLOPs and VLOSEs,Pinterest,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,HR,"684,725"
Only for VLOPs and VLOSEs,Pinterest,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,CY,"275,064"
Only for VLOPs and VLOSEs,Pinterest,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,CZ,"2,109,933"
Only for VLOPs and VLOSEs,Pinterest,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,DK,"1,238,594"
Only for VLOPs and VLOSEs,Pinterest,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,EE,"291,094"
Only for VLOPs and VLOSEs,Pinterest,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,FI,"1,076,342"
Only for VLOPs and VLOSEs,Pinterest,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,FR,"14,979,984"
Only for VLOPs and VLOSEs,Pinterest,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,DE,"16,226,528"
Only for VLOPs and VLOSEs,Pinterest,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,GR,"2,015,198"
Only for VLOPs and VLOSEs,Pinterest,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,HU,"1,968,698"
Only for VLOPs and VLOSEs,Pinterest,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,IE,"987,295"
Only for VLOPs and VLOSEs,Pinterest,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,IT,"9,975,297"
Only for VLOPs and VLOSEs,Pinterest,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,LV,"409,064"
Only for VLOPs and VLOSEs,Pinterest,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,LT,"611,559"
Only for VLOPs and VLOSEs,Pinterest,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,LU,"144,868"
Only for VLOPs and VLOSEs,Pinterest,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,MT,"129,150"
Only for VLOPs and VLOSEs,Pinterest,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,NL,"4,703,902"
Only for VLOPs and VLOSEs,Pinterest,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,PL,"6,377,587"
Only for VLOPs and VLOSEs,Pinterest,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,PT,"2,382,348"
Only for VLOPs and VLOSEs,Pinterest,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,RO,"2,761,495"
Only for VLOPs and VLOSEs,Pinterest,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,SK,"971,575"
Only for VLOPs and VLOSEs,Pinterest,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,SI,"376,352"
Only for VLOPs and VLOSEs,Pinterest,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,ES,"9,073,124"
Only for VLOPs and VLOSEs,Pinterest,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,SE,"2,041,177"
