Oznaczenie kategorii,Opis kategorii,Kategoria treści nielegalnych / niezgodnych z warunkami korzystania z usług,Informacje kontekstowe
OGÓŁEM,Wszystkie wpisy,TOTAL,
Kategoria 1,Dobrostan zwierząt,STATEMENT_CATEGORY_ANIMAL_WELFARE,
Kategoria 1a,Szkody wyrządzane zwierzętom,KEYWORD_ANIMAL_HARM,
Kategoria 1b,Bezprawna sprzedaż zwierząt,KEYWORD_UNLAWFUL_SALE_ANIMALS,
Kategoria 1c,Nieuwzględnione w żadnej innej podkategorii,KEYWORD_OTHER,
Kategoria 2,Naruszenia dotyczące informacji dla konsumentów,STATEMENT_CATEGORY_CONSUMER_INFORMATION,
Kategoria 2a,"Ukryta reklama lub ukryty przekaz handlowy, w tym w treściach nadawanych przez influencerów",KEYWORD_HIDDEN_ADVERTISEMENT,
Kategoria 2b,Niewystarczające informacje na temat przedsiębiorców,KEYWORD_INSUFFICIENT_INFORMATION_ON_TRADERS,
Kategoria 2c,Informacje wprowadzające w błąd na temat cech charakterystycznych towarów i usług,KEYWORD_MISLEADING_INFO_GOODS_SERVICES,
Kategoria 2d,Informacje wprowadzające w błąd na temat praw konsumenta,KEYWORD_MISLEADING_INFO_CONSUMER_RIGHTS,
Kategoria 2e,Nieprzestrzeganie przepisów dotyczących ustalania cen,KEYWORD_NONCOMPLIANCE_PRICING,
Kategoria 2f,Nieuwzględnione w żadnej innej podkategorii,KEYWORD_OTHER,
Kategoria 3,Cyberprzemoc,STATEMENT_CATEGORY_CYBER_VIOLENCE,
Kategoria 3a,Cyberszykanowanie i zastraszanie,KEYWORD_CYBER_BULLYING_INTIMIDATION,
Kategoria 3b,Cybernękanie,KEYWORD_CYBER_HARASSMENT,
Kategoria 3c,Nawoływanie do nienawiści lub przemocy w internecie,KEYWORD_CYBER_INCITEMENT,
Kategoria 3d,Cyberstalking,KEYWORD_CYBER_STALKING,
Kategoria 3e,"Udostępnianie materiałów (o charakterze intymnym) bez zgody zainteresowanej strony, w tym niegodziwe traktowanie (za pomocą obrazów) w celach seksualnych (z wyłączeniem treści przedstawiających małoletnich)",KEYWORD_NON_CONSENSUAL_IMAGE_SHARING,
