Applicability,Service,Reporting period,Indicator,Value
All,IMDb,2025-07-01/2025-12-31,Summary of the content moderation engaged in at the providers’ own initiative,"Our voluntary controls use automation to monitor different aspects of our site for potentially fraudulent, infringing, inauthentic, non-compliant or unsafe content to maintain a trustworthy experience. In most cases, prohibited content is stopped before a customer ever sees it. "
All,IMDb,2025-07-01/2025-12-31,Meaningful and comprehensible information regarding content moderation engaged in at the providers' own initiative,"Our voluntary controls use automation to monitor different aspects of our site for potentially fraudulent, infringing, inauthentic, non-compliant or unsafe content to maintain a trustworthy experience. In most cases, prohibited content is stopped before a customer ever sees it. "
All,IMDb,2025-07-01/2025-12-31,Qualitative description of the automated means,"Our automated tools help us scale our protections and take action more quickly. Once our tools have identified potentially prohibited content, we use a mixture of automated tools and expert investigators to determine the appropriate enforcement action.  We use the data and learnings gathered to innovate and improve our controls."
All,IMDb,2025-07-01/2025-12-31,Qualitative description of indicators of accuracy and possible rate of error of automated means,"Our automated tools are required to meet a high accuracy threshold before deployment, validated through pre-launch testing of the tool's performance against defined control criteria. Following launch, automated tools are continuously audited to ensure they maintain a sufficiently high level of accuracy; tools that fall below acceptable accuracy levels are removed from use.
Automated tools are continuously improved through ongoing training using new information, including internal learnings (such as outcomes of expert manual review decisions) and external risk signals."
All,IMDb,2025-07-01/2025-12-31,Specification of the precise purposes to apply automated means,"Advertising: We proactively detect and remove advertising content that violates our Ads Policies, which are designed to maintain a high customer experience bar for ads on the site. We require all advertising content to comply with all applicable laws, rules, and regulations; to be appropriate for a general audience, and honest about the products or services that ads promotes. We invest heavily in people and technology to protect customers, brands, and advertisers and the site from fraud and other forms of abuse. IMDb deploy a number of measures to ensure compliance with our Ad Policies and detect infringing ads, including through automated moderation tools that check millions of ads and their visible ad elements per day worldwide. To complement our automated measures, expert teams also conduct human reviews of ads to identify any potential non-compliance and apply the learnings as feedback to continually improve our tools.

Trustworthy Reviews: Our moderation processes for community content include machine learning models that detect content that violates our Contribution Guidelines and prevent it from being published. We strictly prohibit fake reviews that intentionally mislead by providing information that is not impartial, authentic, or intended for that title. We invest significant resources to proactively stop fake reviews. When we strongly suspect that a review is inauthentic, we suppress the review completely, so it is not displayed on the site. 
"
All,IMDb,2025-07-01/2025-12-31,Safeguards applied to the use of automated means,"To safeguard against potential errors made by our automated tools, we implement processes to ensure that we have a high confidence rate that our automated tools operate as intended and to minimise mistakes. We do this by ensuring our automated tools meet a high bar of accuracy before they are launched by testing the provision of the control, and by continuously auditing our automated tools after they launch and removing from use automation that does not maintain a sufficiently high level of accuracy. We also constantly improve our automated tools by training them using new information, including internal learnings and developments (including outcomes of expert manual decisions) and external risk signals."
Only for VLOPs,,YYYY-MM-DD/YYYY-MM-DD,High-level description of the content moderation governance structure,Free text
Only for VLOPs,,YYYY-MM-DD/YYYY-MM-DD,Qualifications of the human resources dedicated to content moderation,Free text
Only for VLOPs,,YYYY-MM-DD/YYYY-MM-DD,Training given to human resources dedicated to content moderation,Free text
Only for VLOPs,,YYYY-MM-DD/YYYY-MM-DD,Support given to human resources dedicated to content moderation ,Free text
Only for VLOPs,,YYYY-MM-DD/YYYY-MM-DD,Methodology used to compute the number of human resources dedicated to content moderation  ,Free text
